User_id,First_tran_date,Location,Age,Gender
39017523,2020/03/30,Ho Chi Minh,>37,MALE
39457916,2018/04/18,Ho Chi Minh,>37,FEMALE
46821125,2019/04/20,Other Cities,>37,FEMALE
29501841,2019/08/24,Ho Chi Minh,>37,FEMALE
28580605,2020/01/07,Other Cities,>37,MALE
46854083,2019/04/21,Ho Chi Minh,>37,MALE
38980025,2018/12/08,Ha Noi,>37,MALE
42869517,2020/06/08,Other Cities,>37,FEMALE
46106813,2020/02/21,Ho Chi Minh,>37,MALE
40734667,2018/01/05,Ho Chi Minh,>37,MALE
26898258,2016/01/01,Other Cities,>37,MALE
37317274,2017/02/28,Ha Noi,>37,MALE
2305209,2019/03/17,Other Cities,>37,MALE
22527898,2018/06/20,Ho Chi Minh,>37,MALE
46415419,2019/09/04,Ho Chi Minh,>37,MALE
49595416,2019/10/22,Other Cities,>37,MALE
43836272,2019/02/12,Ho Chi Minh,>37,MALE
8385833,2019/01/21,Other Cities,>37,MALE
16026980,2018/08/15,Ho Chi Minh,>37,FEMALE
36598483,2018/11/23,Ho Chi Minh,>37,MALE
51217867,2020/02/22,Other Cities,>37,MALE
53967151,2020/07/11,Ho Chi Minh,>37,MALE
45517900,2019/02/10,Other Cities,>37,MALE
45849892,2019/03/15,Ha Noi,>37,MALE
24328790,2016/07/31,Ho Chi Minh,>37,FEMALE
25709242,2019/07/01,Ho Chi Minh,>37,MALE
30164810,2019/10/25,Ho Chi Minh,>37,FEMALE
51113627,2019/11/28,Other Cities,>37,MALE
37627173,2019/07/10,Other Cities,>37,MALE
5053704,2020/05/04,Other Cities,>37,FEMALE
4335797,2019/12/14,Ho Chi Minh,>37,FEMALE
40205969,2020/07/15,Other Cities,>37,MALE
50474996,2019/12/26,Other Cities,>37,FEMALE
49256094,2019/09/11,Other Cities,>37,FEMALE
50733651,2019/11/12,Ha Noi,>37,MALE
50177275,2020/03/04,Other Cities,>37,FEMALE
47397680,2020/11/07,Other Cities,>37,MALE
43466756,2018/09/25,Other Cities,>37,MALE
10336875,2018/02/28,Ho Chi Minh,>37,FEMALE
48531449,2019/08/06,Other Cities,>37,FEMALE
39308239,2020/01/11,Other Cities,>37,MALE
47857445,2019/07/01,Ha Noi,>37,FEMALE
50769780,2020/01/14,Ho Chi Minh,>37,FEMALE
47499069,2019/09/18,Ho Chi Minh,>37,MALE
11177228,2019/09/26,Other Cities,>37,FEMALE
6339399,2017/02/28,Ho Chi Minh,>37,MALE
41704338,2018/07/07,Ho Chi Minh,>37,MALE
8128525,2019/06/06,Ho Chi Minh,>37,MALE
57753376,2020/08/10,Other Cities,>37,MALE
43359624,2018/09/27,Ho Chi Minh,>37,MALE
50249641,2019/10/27,Other Cities,>37,FEMALE
48223335,2019/09/01,Other Cities,>37,FEMALE
9678966,2019/01/16,Other Cities,>37,MALE
41893061,2020/06/15,Other Cities,>37,FEMALE
24095971,2019/10/31,Ho Chi Minh,>37,MALE
9629637,2019/08/06,Ho Chi Minh,>37,FEMALE
5119961,2019/07/07,Ho Chi Minh,>37,MALE
2652349,2020/04/03,Other Cities,>37,MALE
4392045,2018/03/05,Other Cities,>37,FEMALE
58700868,2020/09/17,Other Cities,>37,FEMALE
42635575,2018/07/22,Other Cities,>37,MALE
49093943,2019/09/05,Other Cities,>37,FEMALE
53511524,2020/02/12,Other Cities,>37,MALE
58440545,2020/10/20,Other Cities,>37,FEMALE
32514604,2019/11/21,Ho Chi Minh,>37,FEMALE
25917419,2017/01/07,Ho Chi Minh,>37,MALE
33658530,2016/01/01,Ho Chi Minh,>37,FEMALE
46190244,2019/04/16,Other Cities,>37,FEMALE
47545712,2019/06/07,Other Cities,>37,MALE
49887968,2020/05/02,Other Cities,>37,MALE
7590738,2019/07/21,Ho Chi Minh,>37,FEMALE
56696279,2020/06/23,Ha Noi,>37,FEMALE
44949627,2019/01/08,Other Cities,>37,MALE
41338685,2018/06/25,Ho Chi Minh,>37,FEMALE
51433994,2019/12/06,Other Cities,>37,FEMALE
50859603,2020/08/01,Ho Chi Minh,>37,MALE
34229508,2020/04/02,Ho Chi Minh,>37,MALE
51056102,2020/04/03,Ho Chi Minh,>37,MALE
51644225,2020/02/06,Other Cities,>37,FEMALE
45486604,2020/09/29,Other Cities,>37,MALE
43459166,2018/09/24,Other Cities,>37,FEMALE
54278884,2020/03/09,Unknown,>37,MALE
50885338,2020/03/01,Other Cities,>37,MALE
52390287,2020/04/01,Ho Chi Minh,>37,MALE
31804328,2019/10/03,Other Cities,>37,FEMALE
31813595,2017/03/03,Other Cities,>37,MALE
36991093,2017/01/02,Other Cities,>37,FEMALE
57937879,2020/08/17,Other Cities,>37,FEMALE
56727564,2020/07/02,Ha Noi,>37,FEMALE
35501803,2019/07/03,Ho Chi Minh,>37,FEMALE
52030682,2019/12/25,Ha Noi,>37,FEMALE
48190533,2019/07/19,Ha Noi,>37,MALE
43096387,2018/08/31,Ha Noi,>37,MALE
36520229,2019/04/08,Ha Noi,>37,FEMALE
7446691,2020/02/25,Ho Chi Minh,>37,FEMALE
42866727,2018/08/20,Ho Chi Minh,>37,FEMALE
49332540,2019/09/27,Other Cities,>37,MALE
32852896,2018/04/12,Ho Chi Minh,>37,FEMALE
55216686,2020/04/10,Other Cities,>37,MALE
7333625,2019/10/21,Unknown,>37,MALE
36265813,2020/03/06,Unknown,>37,FEMALE
54106497,2020/04/02,Other Cities,>37,MALE
55863793,2020/08/05,Unknown,>37,MALE
42746739,2019/01/11,Ho Chi Minh,>37,FEMALE
22659216,2020/04/23,Other Cities,>37,MALE
30188316,2019/10/18,Other Cities,>37,MALE
